Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount,,,Fund Code,Department Code,Division Code
FY20,Expense,Police,Records Management,General Fund,Other Services and Charges,Rentals.Rentals,800,,,101,305,30700
FY20,Expense,City Clerk,City Clerk - Election,General Fund,Other Services and Charges,Rentals.Rentals,3400,,,101,215,19100
FY20,Expense,Parks and Recreation,Parks and Rec Facility,Parks and Recreation Fund,Other Services and Charges,Rentals.Rentals,500,,,208,752,75600
FY20,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Rentals.Rentals,5000,,,202,441,46300
FY20,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Rentals.Rentals,2000,,,203,441,46300
FY20,Expense,Public Works,T and D - Mains,Water Fund,Other Services and Charges,Rentals.Rentals,3000,,,591,441,56200
FY20,Expense,Water Utility,Customer Accounting,Water Fund,Other Services and Charges,Rentals.City Hall Office Space,10790,,,591,591,56900
FY20,Expense,Parks and Recreation,Parks and Rec Administration,Parks and Recreation Fund,Other Services and Charges,Rentals.City Hall Office Space,30890,,,208,752,75200
FY20,Expense,Permits,Permits,Building Inspection Fund,Other Services and Charges,Rentals.City Hall Office Space,8175,,,249,371,37100
FY20,Expense,Permits,Code Enforcement - Other,Building Inspection Fund,Other Services and Charges,Rentals.City Hall Office Space,8175,,,249,371,37210
FY20,Expense,Permits,Zoning and Other Programs,Building Inspection Fund,Other Services and Charges,Rentals.City Hall Office Space,8175,,,249,371,72200
FY20,Expense,Permits,Rental Program,Building Inspection Fund,Other Services and Charges,Rentals.City Hall Office Space,8175,,,249,371,37300
FY20,Expense,Public Works,Traffic Services,Local Streets Fund,Other Services and Charges,Rentals.Motor Pool Building,13390,,,203,441,47400
FY20,Expense,Public Works,Winter Maintenance,Local Streets Fund,Other Services and Charges,Rentals.Motor Pool Building,19734,,,203,441,47800
FY20,Expense,Parks and Recreation,Parks and Rec Facility,Parks and Recreation Fund,Other Services and Charges,Rentals.Motor Pool Building,41400,,,208,752,75600
FY20,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Rentals.Motor Pool Building,20083,,,202,441,47400
FY20,Expense,Public Works,Winter Maintenance,Major Streets Fund,Other Services and Charges,Rentals.Motor Pool Building,24643,,,202,441,47800
FY20,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Rentals.Motor Pool Building,24944,,,203,441,46300
FY20,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Rentals.Motor Pool Building,36413,,,202,441,46300
FY20,Expense,Police,Patrol,General Fund,Other Services and Charges,Rentals.Motor Pool Building,6252,,,101,305,31500
FY20,Expense,Public Works,Transmission,Sewer Fund,Other Services and Charges,Rentals.Motor Pool Building,40638,,,590,441,54200
FY20,Expense,Public Works,Installation of Service,Water Fund,Other Services and Charges,Rentals.Motor Pool Building,156,,,591,441,57400
FY20,Expense,Public Works,T and D - Services,Water Fund,Other Services and Charges,Rentals.Motor Pool Building,42101,,,591,441,56700
FY20,Expense,Public Works,T and D - Hydrants,Water Fund,Other Services and Charges,Rentals.Motor Pool Building,3432,,,591,441,56600
FY20,Expense,Public Works,T and D - Mains,Water Fund,Other Services and Charges,Rentals.Motor Pool Building,41156,,,591,441,56200
FY20,Expense,Public Works,T and D - Mains,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,95220,,,591,441,56200
FY20,Expense,Public Works,T and D - Hydrants,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,18000,,,591,441,56600
FY20,Expense,Public Works,T and D - Services,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,115000,,,591,441,56700
FY20,Expense,Wastewater Utility,GVRBA Operations-Land Appl,Sewer Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,2271,,,590,590,54800
FY20,Expense,Public Works,Installation of Service,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,2500,,,591,441,57400
FY20,Expense,Water Utility,T and D - Pipeline Meters,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,2196,,,591,591,56400
FY20,Expense,Water Utility,T and D - Meters,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,25000,,,591,591,56500
FY20,Expense,Public Works,Transmission,Sewer Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,67510,,,590,441,54200
FY20,Expense,Wastewater Utility,Treatment,Sewer Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,67801,,,590,590,54300
FY20,Expense,Water Utility,T and D - Pipeline to Gezon,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,6169,,,591,591,56300
FY20,Expense,Wastewater Utility,Industrial Pretreatment,Sewer Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,25846,,,590,590,54700
FY20,Expense,Water Utility,T and  D - Gezon Station,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,4788,,,591,591,55900
FY20,Expense,Water Utility,Pumping and Treatment,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,58767,,,591,591,55300
FY20,Expense,Police,Patrol,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,312500,,,101,305,31500
FY20,Expense,Police,Forensic Science Unit,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,14000,,,101,305,31200
FY20,Expense,Fire,Fighting,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,410500,,,101,337,33900
FY20,Expense,Fire,Administration Services,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,16200,,,101,337,33700
FY20,Expense,Police,Senior Volunteer,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,2400,,,101,305,31700
FY20,Expense,Police,Building ,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,3700,,,101,305,30610
FY20,Expense,Police,Administration Services,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,19000,,,101,305,30500
FY20,Expense,Police,Detective Bureau,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,47000,,,101,305,31000
FY20,Expense,Facilities,Facilities Maintenance,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,14200,,,101,267,26700
FY20,Expense,Information Technology,Information Technology,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,3300,,,101,258,25800
FY20,Expense,Assessor,Assessor,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,3200,,,101,209,20900
FY20,Expense,City Manager,City Manager,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,5000,,,101,172,17200
FY20,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,173190,,,202,441,46300
FY20,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,80000,,,203,441,46300
FY20,Expense,Public Works,Winter Maintenance,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,130000,,,202,441,47800
FY20,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,71900,,,202,441,47400
FY20,Expense,Fire,Prevention,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,6597,,,101,337,34100
FY20,Expense,Parks and Recreation,Parks and Rec Facility,Parks and Recreation Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,180000,,,208,752,75600
FY20,Expense,Public Works,Sidewalk Repair,Sidewalk Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,6000,,,211,441,44210
FY20,Expense,Public Works,Yard Waste Disposal,Solid Waste Disposal Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,81450,,,230,441,44300
FY20,Expense,Public Works,Winter Maintenance,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,105000,,,203,441,47800
FY20,Expense,Public Works,Traffic Services,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,20000,,,203,441,47400
FY20,Expense,Parks and Recreation,Parks and Rec Administration,Parks and Recreation Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,6720,,,208,752,75200
FY20,Expense,Facilities,Facilities Maintenance,Library Maint & Capital Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,10000,,,401,267,26700
FY20,Expense,Planning,Rehabilitation 2020,Community Development Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,1000,,,256,400,69120
FY20,Expense,Public Works,Administration,Capital Improvement Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,23200,,,400,441,17500
FY20,Expense,Permits,Rental Program,Building Inspection Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,7100,,,249,371,37300
FY20,Expense,Permits,Code Enforcement - CDBG Eligible,Building Inspection Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,3700,,,249,371,37220
FY20,Expense,Permits,Code Enforcement - Other,Building Inspection Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,7705,,,249,371,37210
FY20,Expense,Wastewater Utility,Treatment - Lab Services,Sewer Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,2654,,,590,590,54310
FY20,Expense,Water Utility,Pumping&Treatment - Lab Services,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,7620,,,591,591,55310
FY20,Expense,Fire,Fighting - Dual Empl. Reserves,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,2500,,,101,337,33901
FY20,Expense,Permits,Permits,Building Inspection Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,20752,,,249,371,37100
FY20,Expense,Permits,Permits,Building Inspection Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,6300,,,249,371,37100
FY20,Expense,Fire,Fighting - Dual Empl. Reserves,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,300,,,101,337,33901
FY20,Expense,Water Utility,Pumping&Treatment - Lab Services,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,1000,,,591,591,55310
FY20,Expense,Wastewater Utility,Treatment - Lab Services,Sewer Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,250,,,590,590,54310
FY20,Expense,Permits,Code Enforcement - CDBG Eligible,Building Inspection Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,1150,,,249,371,37220
FY20,Expense,Permits,Rental Program,Building Inspection Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,2200,,,249,371,37300
FY20,Expense,Permits,Code Enforcement - Other,Building Inspection Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,2360,,,249,371,37210
FY20,Expense,Public Works,Administration,Capital Improvement Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,5600,,,400,441,17500
FY20,Expense,Planning,Rehabilitation 2020,Community Development Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,500,,,256,400,69120
FY20,Expense,Facilities,Facilities Maintenance,Library Maint & Capital Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,3500,,,401,267,26700
FY20,Expense,Parks and Recreation,Parks and Rec Administration,Parks and Recreation Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,650,,,208,752,75200
FY20,Expense,Public Works,Traffic Services,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,5000,,,203,441,47400
FY20,Expense,Public Works,Winter Maintenance,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,110000,,,203,441,47800
FY20,Expense,Public Works,Yard Waste Disposal,Solid Waste Disposal Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,40350,,,230,441,44300
FY20,Expense,Public Works,Sidewalk Repair,Sidewalk Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,4000,,,211,441,44210
FY20,Expense,Parks and Recreation,Parks and Rec Facility,Parks and Recreation Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,55000,,,208,752,75600
FY20,Expense,Fire,Prevention,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,1000,,,101,337,34100
FY20,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,22700,,,202,441,47400
FY20,Expense,Public Works,Winter Maintenance,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,130000,,,202,441,47800
FY20,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,35000,,,203,441,46300
FY20,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,60770,,,202,441,46300
FY20,Expense,City Manager,City Manager,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,3000,,,101,172,17200
FY20,Expense,Assessor,Assessor,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,500,,,101,209,20900
FY20,Expense,Information Technology,Information Technology,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,500,,,101,258,25800
FY20,Expense,Facilities,Facilities Maintenance,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,3500,,,101,267,26700
FY20,Expense,Police,Detective Bureau,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,10000,,,101,305,31000
FY20,Expense,Police,Administration Services,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,1700,,,101,305,30500
FY20,Expense,Police,Building ,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,2000,,,101,305,30610
FY20,Expense,Police,Senior Volunteer,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,2500,,,101,305,31700
FY20,Expense,Fire,Administration Services,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,1500,,,101,337,33700
FY20,Expense,Fire,Fighting,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,88500,,,101,337,33900
FY20,Expense,Police,Forensic Science Unit,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,3000,,,101,305,31200
FY20,Expense,Police,Patrol,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,190000,,,101,305,31500
FY20,Expense,Water Utility,Pumping and Treatment,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,8500,,,591,591,55300
FY20,Expense,Water Utility,T and  D - Gezon Station,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,2220,,,591,591,55900
FY20,Expense,Wastewater Utility,Industrial Pretreatment,Sewer Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,2150,,,590,590,54700
FY20,Expense,Water Utility,T and D - Pipeline to Gezon,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,500,,,591,591,56300
FY20,Expense,Wastewater Utility,Treatment,Sewer Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,6500,,,590,590,54300
FY20,Expense,Public Works,Transmission,Sewer Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,41330,,,590,441,54200
FY20,Expense,Water Utility,T and D - Meters,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,7000,,,591,591,56500
FY20,Expense,Water Utility,T and D - Pipeline Meters,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,360,,,591,591,56400
FY20,Expense,Public Works,Installation of Service,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,1200,,,591,441,57400
FY20,Expense,Wastewater Utility,GVRBA Operations-Land Appl,Sewer Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,500,,,590,590,54800
FY20,Expense,Public Works,T and D - Services,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,70000,,,591,441,56700
FY20,Expense,Public Works,T and D - Hydrants,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,6000,,,591,441,56600
FY20,Expense,Public Works,T and D - Mains,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,49260,,,591,441,56200
FY20,Expense,Public Works,T and D - Mains,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,18310,,,591,441,56200
FY20,Expense,Public Works,T and D - Hydrants,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,5000,,,591,441,56600
FY20,Expense,Public Works,T and D - Services,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,23000,,,591,441,56700
FY20,Expense,Wastewater Utility,GVRBA Operations-Land Appl,Sewer Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,900,,,590,590,54800
FY20,Expense,Public Works,Installation of Service,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,750,,,591,441,57400
FY20,Expense,Water Utility,T and D - Pipeline Meters,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,360,,,591,591,56400
FY20,Expense,Water Utility,T and D - Meters,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,8000,,,591,591,56500
FY20,Expense,Public Works,Transmission,Sewer Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,12380,,,590,441,54200
FY20,Expense,Wastewater Utility,Treatment,Sewer Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,10000,,,590,590,54300
FY20,Expense,Water Utility,T and D - Pipeline to Gezon,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,1105,,,591,591,56300
FY20,Expense,Wastewater Utility,Industrial Pretreatment,Sewer Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,5000,,,590,590,54700
FY20,Expense,Water Utility,T and  D - Gezon Station,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,600,,,591,591,55900
FY20,Expense,Water Utility,Pumping and Treatment,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,6945,,,591,591,55300
FY20,Expense,Police,Patrol,General Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,142000,,,101,305,31500
FY20,Expense,Police,Forensic Science Unit,General Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,3500,,,101,305,31200
FY20,Expense,Fire,Fighting,General Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,37673,,,101,337,33900
FY20,Expense,Fire,Administration Services,General Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,2500,,,101,337,33700
FY20,Expense,Police,Senior Volunteer,General Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,2500,,,101,305,31700
FY20,Expense,Police,Building ,General Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,1300,,,101,305,30610
FY20,Expense,Police,Administration Services,General Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,3500,,,101,305,30500
FY20,Expense,Police,Detective Bureau,General Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,7350,,,101,305,31000
FY20,Expense,Facilities,Facilities Maintenance,General Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,2000,,,101,267,26700
FY20,Expense,Information Technology,Information Technology,General Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,500,,,101,258,25800
FY20,Expense,Assessor,Assessor,General Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,500,,,101,209,20900
FY20,Expense,City Manager,City Manager,General Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,4200,,,101,172,17200
FY20,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,20770,,,202,441,46300
FY20,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,12000,,,203,441,46300
FY20,Expense,Public Works,Winter Maintenance,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,20000,,,202,441,47800
FY20,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,1800,,,202,441,47400
FY20,Expense,Fire,Prevention,General Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,1500,,,101,337,34100
FY20,Expense,Parks and Recreation,Parks and Rec Facility,Parks and Recreation Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,30000,,,208,752,75600
FY20,Expense,Public Works,Sidewalk Repair,Sidewalk Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,1000,,,211,441,44210
FY20,Expense,Public Works,Yard Waste Disposal,Solid Waste Disposal Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,13350,,,230,441,44300
FY20,Expense,Public Works,Winter Maintenance,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,17000,,,203,441,47800
FY20,Expense,Public Works,Traffic Services,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,3000,,,203,441,47400
FY20,Expense,Parks and Recreation,Parks and Rec Administration,Parks and Recreation Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,1700,,,208,752,75200
FY20,Expense,Facilities,Facilities Maintenance,Library Maint & Capital Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,2000,,,401,267,26700
FY20,Expense,Planning,Rehabilitation 2020,Community Development Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,350,,,256,400,69120
FY20,Expense,Public Works,Administration,Capital Improvement Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,6400,,,400,441,17500
FY20,Expense,Permits,Code Enforcement - Other,Building Inspection Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,2360,,,249,371,37210
FY20,Expense,Permits,Code Enforcement - CDBG Eligible,Building Inspection Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,700,,,249,371,37220
FY20,Expense,Permits,Rental Program,Building Inspection Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,1350,,,249,371,37300
FY20,Expense,Wastewater Utility,Treatment - Lab Services,Sewer Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,300,,,590,590,54310
FY20,Expense,Water Utility,Pumping&Treatment - Lab Services,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,2000,,,591,591,55310
FY20,Expense,Fire,Fighting - Dual Empl. Reserves,General Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,400,,,101,337,33901
FY20,Expense,Permits,Permits,Building Inspection Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,3950,,,249,371,37100
FY20,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment - Radio System,1132,,,202,441,46300
FY20,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment - Radio System,1600,,,202,441,47400
FY20,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment - Radio System,700,,,203,441,46300
FY20,Expense,Public Works,Traffic Services,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment - Radio System,800,,,203,441,47400
FY20,Expense,Public Works,Transmission,Sewer Fund,Other Services and Charges,Motor Pool Rental.Equipment - Radio System,1568,,,590,441,54200
FY20,Expense,Public Works,T and D - Mains,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment - Radio System,2156,,,591,441,56200
FY20,Expense,Public Works,T and D - Services,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment - Radio System,2000,,,591,441,56700
FY20,Expense,Water Utility,Pumping and Treatment,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment - Radio System,8400,,,591,591,55300
FY20,Expense,Water Utility,T and D - Meters,Water Fund,Other Services and Charges,Motor Pool Rental.Equipment - Radio System,600,,,591,591,56500
FY20,Expense,Public Works,Yard Waste Disposal,Solid Waste Disposal Fund,Other Services and Charges,Motor Pool Rental.Equipment - Radio System,60,,,230,441,44300
FY20,Expense,Police,Jail,General Fund,Other Services and Charges,Prisoner Board.Prisoner Board,365692,,,101,305,33400
FY20,Expense,Planning,Planning,General Fund,Other Services and Charges,WM Regional Planning.WM Regional Planning,4800,,,101,400,40000
FY20,Expense,Public Works,T and D - Services,Water Fund,Other Services and Charges,Other Services.Other Services,17500,,,591,441,56700
FY20,Expense,Wastewater Utility,GVRBA Operations-Land Appl,Sewer Fund,Other Services and Charges,Other Services.Other Services,450,,,590,590,54800
FY20,Expense,Public Works,T and D - Mains,Water Fund,Other Services and Charges,Other Services.Other Services,12245,,,591,441,56200
FY20,Expense,Finance,Cable TV Commission,General Fund,Other Services and Charges,Other Services.Other Services,500000,,,101,201,73200
FY20,Expense,Planning,Economic Development,General Fund,Other Services and Charges,Other Services.Other Services,20000,,,101,400,72800
FY20,Expense,Planning,Planning,General Fund,Other Services and Charges,Other Services.Other Services,11875,,,101,400,40000
FY20,Expense,Fire,Prevention,General Fund,Other Services and Charges,Other Services.Other Services,875,,,101,337,34100
FY20,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Other Services.Other Services,5250,,,202,441,47400
FY20,Expense,Public Works,Winter Maintenance,Major Streets Fund,Other Services and Charges,Other Services.Other Services,2000,,,202,441,47800
FY20,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Other Services.Other Services,2500,,,203,441,46300
FY20,Expense,Public Works,Street Administration,Major Streets Fund,Other Services and Charges,Other Services.Other Services,38000,,,202,441,48300
FY20,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Other Services.Other Services,2440,,,202,441,46300
FY20,Expense,Parks and Recreation,Parks and Rec Administration,Parks and Recreation Fund,Other Services and Charges,Other Services.Other Services,41050,,,208,752,75200
FY20,Expense,Public Works,Winter Maintenance,Local Streets Fund,Other Services and Charges,Other Services.Other Services,1500,,,203,441,47800
FY20,Expense,Public Works,Yard Waste Disposal,Solid Waste Disposal Fund,Other Services and Charges,Other Services.Other Services,410200,,,230,441,44300
FY20,Expense,Parks and Recreation,Recreation,Parks and Recreation Fund,Other Services and Charges,Other Services.Other Services,18289,,,208,752,76100
FY20,Expense,Parks and Recreation,Parks and Rec - Senior Center,Parks and Recreation Fund,Other Services and Charges,Other Services.Other Services,2650,,,208,752,75800
FY20,Expense,Parks and Recreation,Parks and Rec Facility,Parks and Recreation Fund,Other Services and Charges,Other Services.Other Services,12210,,,208,752,75600
FY20,Expense,Police,Senior Volunteer,General Fund,Other Services and Charges,Other Services.Other Services,1000,,,101,305,31700
FY20,Expense,Police,Communications/Dispatch,General Fund,Other Services and Charges,Other Services.Other Services,593000,,,101,305,32500
FY20,Expense,Fire,Administration Services,General Fund,Other Services and Charges,Other Services.Other Services,1400,,,101,337,33700
FY20,Expense,Fire,Fighting,General Fund,Other Services and Charges,Other Services.Other Services,49400,,,101,337,33900
FY20,Expense,Police,Forensic Science Unit,General Fund,Other Services and Charges,Other Services.Other Services,2500,,,101,305,31200
FY20,Expense,Finance,Treasurer,General Fund,Other Services and Charges,Other Services.Other Services,7470,,,101,201,25300
FY20,Expense,Police,Crossing Guard,General Fund,Other Services and Charges,Other Services.Other Services,84440,,,101,305,31600
FY20,Expense,City Council,City Council - Communication,General Fund,Other Services and Charges,Other Services.Other Services,29500,,,101,101,10300
FY20,Expense,Police,Patrol,General Fund,Other Services and Charges,Other Services.Other Services,32590,,,101,305,31500
FY20,Expense,Information Technology,Information Technology,General Fund,Other Services and Charges,Other Services.Other Services,24150,,,101,258,25800
FY20,Expense,Facilities,Facilities Maintenance,General Fund,Other Services and Charges,Other Services.Other Services,870,,,101,267,26700
FY20,Expense,Purchasing,Central Services,General Fund,Other Services and Charges,Other Services.Other Services,4000,,,101,233,24800
FY20,Expense,Police,Detective Bureau,General Fund,Other Services and Charges,Other Services.Other Services,9500,,,101,305,31000
FY20,Expense,Police,Records Management,General Fund,Other Services and Charges,Other Services.Other Services,100,,,101,305,30700
